fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 MASCULINO,NEGRA,25.0,25_34,VITORIA,JARDIM DA PENHA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,37.0,35_44,VILA VALERIO,SANTA RITA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,31.0,25_34,CACHOEIRO DE ITAPEMIRIM,AEROPORTO,,
homicidios,violencia_social,1 MASCULINO,PARDA,44.0,35_44,VILA VELHA,COBI DE BAIXO,,
homicidios,violencia_social,1 MASCULINO,PARDA,16.0,15_17,LINHARES,RIO QUARTEL,,
homicidios,violencia_social,1 MASCULINO,PARDA,34.0,25_34,VITORIA,GURIGICA,,
homicidios,violencia_social,1 MASCULINO,PARDA,22.0,18_24,PONTO BELO,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,20.0,18_24,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 MASCULINO,PARDA,18.0,18_24,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,20.0,18_24,CARIACICA,FLEXAL II,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,PEDRO CANARIO,CAMATA,,
homicidios,violencia_social,1 MASCULINO,PARDA,7.0,0_14,SERRA,MORADA DE LARANJEIRAS,,
homicidios,violencia_social,1 MASCULINO,NEGRA,29.0,25_34,JAGUARE,JIRAU,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,VILA VELHA,SANTA RITA,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,VILA VELHA,SOTECO,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,CARIACICA,JARDIM DE ALAH,,
homicidios,violencia_social,2 FEMININO,PARDA,27.0,25_34,BAIXO GUANDU,ROSARIO I,,
homicidios,violencia_social,1 MASCULINO,PARDA,39.0,35_44,SAO MATEUS,MORADA DO LAGO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,35.0,35_44,VILA VELHA,TERRA VERMELHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,42.0,35_44,VILA VELHA,ATAIDE,,
homicidios,violencia_social,2 FEMININO,,30.0,25_34,LINHARES,AVISO,,
homicidios,violencia_social,1 MASCULINO,PARDA,49.0,45_54,BAIXO GUANDU,VILA KENNEDY,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,ARACRUZ,MAR AZUL,,
homicidios,violencia_social,1 MASCULINO,BRANCA,21.0,18_24,VARGEM ALTA,CASTELINHO,,
homicidios,violencia_social,1 MASCULINO,PARDA,37.0,35_44,BARRA DE SAO FRANCISCO,COLINA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,23.0,18_24,LINHARES,NOVA ESPERANCA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,23.0,18_24,LINHARES,INTERLAGOS,,
homicidios,violencia_social,1 MASCULINO,NEGRA,27.0,25_34,CARIACICA,CAMPO GRANDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,15.0,15_17,PINHEIROS,SANTO ANTONIO,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,NEGRA,34.0,25_34,LINHARES,RESIDENCIAL RIO DOCE,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,AGUA DOCE DO NORTE,CORREGO DO CEDRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,19.0,18_24,VILA VELHA,COBI DE CIMA,,
homicidios,violencia_social,1 MASCULINO,NEGRA,46.0,45_54,AFONSO CLAUDIO,CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,33.0,25_34,SERRA,BAIRRO DAS LARANJEIRAS,,
homicidios,violencia_social,2 FEMININO,BRANCA,38.0,35_44,CARIACICA,BOA SORTE,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,ECOPORANGA,VILA NOVA,,
homicidios,violencia_social,1 MASCULINO,PARDA,50.0,45_54,LINHARES,NOVA ESPERANCA,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,VILA VELHA,JABURUNA,,
homicidios,violencia_social,1 MASCULINO,PARDA,65.0,65_PLUS,LINHARES,AVISO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,24.0,18_24,VIANA,BOM PASTOR,,
homicidios,violencia_social,1 MASCULINO,PARDA,33.0,25_34,VIANA,BOM PASTOR,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,ECOPORANGA,CENTRO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,36.0,35_44,LINHARES,SAO RAFAEL,,
homicidios,violencia_social,2 FEMININO,PARDA,8.0,0_14,CARIACICA,ITAQUARI,,
homicidios,violencia_social,1 MASCULINO,PARDA,54.0,45_54,JAGUARE,NOSSA SENHORA DE FATIMA,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,MARATAIZES,BARRA DE ITAPEMIRIM,,
homicidios,violencia_social,1 MASCULINO,PARDA,40.0,35_44,SAO MATEUS,VITORIA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,62.0,55_64,PINHEIROS,PINHEIRINHO,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,SERRA,RESIDENCIAL VISTA DO MESTRE,,
homicidios,violencia_social,1 MASCULINO,PARDA,45.0,45_54,SERRA,RESIDENCIAL JACARAIPE,,
homicidios,violencia_social,1 MASCULINO,NAO INFORMADO,55.0,55_64,SERRA,CHACARA PARREIRAL,,
homicidios,violencia_social,1 MASCULINO,PARDA,40.0,35_44,VILA VELHA,GLORIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,46.0,45_54,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 MASCULINO,BRANCA,25.0,25_34,BARRA DE SAO FRANCISCO,VILA LANDINHA,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,MUCURICI,AGUA BOA,,
homicidios,violencia_social,1 MASCULINO,PARDA,25.0,25_34,CARIACICA,PADRE GABRIEL,,
homicidios,violencia_social,1 MASCULINO,BRANCA,51.0,45_54,BARRA DE SAO FRANCISCO,VILA VICENTE,,
homicidios,violencia_social,1 MASCULINO,BRANCA,24.0,18_24,VILA VELHA,JARDIM MARILANDIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,33.0,25_34,VILA VELHA,GLORIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,SERRA,SAO DOMINGOS,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,VIANA,CANTO GRANDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,38.0,35_44,ARACRUZ,NOVA ESPERANCA,,
