periodo_dia,municipio,categoria_macro,quantidade
MANHA,ICONHA,objetos,5
MANHA,ICONHA,digital,2
NOITE,ICONHA,violencia_social,11
NOITE,ICONHA,patrimonial,10
NOITE,ICONHA,digital,2
NOITE,ICONHA,objetos,2
TARDE,ICONHA,patrimonial,34
TARDE,ICONHA,violencia_social,10
TARDE,ICONHA,digital,6
TARDE,ICONHA,objetos,3
MADRUGADA,IRUPI,violencia_social,4
MADRUGADA,IRUPI,objetos,3
MADRUGADA,IRUPI,patrimonial,3
MANHA,IRUPI,patrimonial,12
MANHA,IRUPI,violencia_social,6
MANHA,IRUPI,objetos,1
NOITE,IRUPI,violencia_social,24
NOITE,IRUPI,patrimonial,6
NOITE,IRUPI,objetos,5
TARDE,IRUPI,patrimonial,31
TARDE,IRUPI,violencia_social,17
TARDE,IRUPI,objetos,2
MADRUGADA,ITAGUACU,violencia_social,9
MADRUGADA,ITAGUACU,patrimonial,4
MADRUGADA,ITAGUACU,objetos,3
MANHA,ITAGUACU,patrimonial,27
MANHA,ITAGUACU,violencia_social,10
MANHA,ITAGUACU,objetos,1
NOITE,ITAGUACU,violencia_social,25
NOITE,ITAGUACU,patrimonial,12
NOITE,ITAGUACU,objetos,4
TARDE,ITAGUACU,patrimonial,31
TARDE,ITAGUACU,violencia_social,16
TARDE,ITAGUACU,objetos,5
MADRUGADA,ITAPEMIRIM,violencia_social,45
MADRUGADA,ITAPEMIRIM,patrimonial,36
MADRUGADA,ITAPEMIRIM,objetos,16
MANHA,ITAPEMIRIM,patrimonial,105
MANHA,ITAPEMIRIM,violencia_social,55
MANHA,ITAPEMIRIM,objetos,21
NOITE,ITAPEMIRIM,violencia_social,96
NOITE,ITAPEMIRIM,patrimonial,87
NOITE,ITAPEMIRIM,objetos,37
NOITE,ITAPEMIRIM,digital,1
TARDE,ITAPEMIRIM,patrimonial,201
TARDE,ITAPEMIRIM,violencia_social,72
TARDE,ITAPEMIRIM,objetos,22
MADRUGADA,ITARANA,violencia_social,4
MADRUGADA,ITARANA,patrimonial,3
MADRUGADA,ITARANA,objetos,2
MANHA,ITARANA,patrimonial,7
MANHA,ITARANA,violencia_social,6
MANHA,ITARANA,objetos,1
NOITE,ITARANA,violencia_social,18
NOITE,ITARANA,patrimonial,5
NOITE,ITARANA,objetos,1
TARDE,ITARANA,patrimonial,20
TARDE,ITARANA,violencia_social,7
MADRUGADA,IUNA,violencia_social,25
MADRUGADA,IUNA,patrimonial,19
MADRUGADA,IUNA,objetos,8
MANHA,IUNA,patrimonial,74
MANHA,IUNA,violencia_social,22
MANHA,IUNA,objetos,3
NOITE,IUNA,violencia_social,57
NOITE,IUNA,patrimonial,31
NOITE,IUNA,objetos,11
TARDE,IUNA,patrimonial,111
TARDE,IUNA,violencia_social,38
TARDE,IUNA,objetos,8
MADRUGADA,JAGUARE,violencia_social,16
MADRUGADA,JAGUARE,patrimonial,9
MADRUGADA,JAGUARE,objetos,5
MANHA,JAGUARE,patrimonial,24
MANHA,JAGUARE,violencia_social,14
MANHA,JAGUARE,objetos,3
NOITE,JAGUARE,violencia_social,26
NOITE,JAGUARE,patrimonial,11
NOITE,JAGUARE,objetos,8
TARDE,JAGUARE,patrimonial,44
TARDE,JAGUARE,violencia_social,27
TARDE,JAGUARE,objetos,7
MADRUGADA,JERONIMO MONTEIRO,violencia_social,18
MADRUGADA,JERONIMO MONTEIRO,patrimonial,5
MADRUGADA,JERONIMO MONTEIRO,objetos,2
MANHA,JERONIMO MONTEIRO,patrimonial,26
MANHA,JERONIMO MONTEIRO,violencia_social,10
MANHA,JERONIMO MONTEIRO,objetos,3
NOITE,JERONIMO MONTEIRO,violencia_social,30
NOITE,JERONIMO MONTEIRO,patrimonial,16
NOITE,JERONIMO MONTEIRO,objetos,4
TARDE,JERONIMO MONTEIRO,patrimonial,41
TARDE,JERONIMO MONTEIRO,violencia_social,19
TARDE,JERONIMO MONTEIRO,objetos,3
MADRUGADA,JOAO NEIVA,violencia_social,15
MADRUGADA,JOAO NEIVA,objetos,4
MADRUGADA,JOAO NEIVA,patrimonial,1
MANHA,JOAO NEIVA,patrimonial,18
MANHA,JOAO NEIVA,violencia_social,15
MANHA,JOAO NEIVA,objetos,3
NOITE,JOAO NEIVA,violencia_social,38
NOITE,JOAO NEIVA,patrimonial,14
NOITE,JOAO NEIVA,objetos,5
TARDE,JOAO NEIVA,patrimonial,56
TARDE,JOAO NEIVA,violencia_social,20
TARDE,JOAO NEIVA,objetos,7
MADRUGADA,LARANJA DA TERRA,objetos,1
MADRUGADA,LARANJA DA TERRA,violencia_social,1
MANHA,LARANJA DA TERRA,patrimonial,3
MANHA,LARANJA DA TERRA,violencia_social,2
MANHA,LARANJA DA TERRA,objetos,1
NOITE,LARANJA DA TERRA,violencia_social,10
NOITE,LARANJA DA TERRA,patrimonial,6
TARDE,LARANJA DA TERRA,violencia_social,15
TARDE,LARANJA DA TERRA,patrimonial,12
TARDE,LARANJA DA TERRA,objetos,1
MADRUGADA,LINHARES,objetos,121
MADRUGADA,LINHARES,violencia_social,116
MADRUGADA,LINHARES,patrimonial,107
MANHA,LINHARES,patrimonial,453
MANHA,LINHARES,violencia_social,146
MANHA,LINHARES,objetos,130
MANHA,LINHARES,digital,2
NOITE,LINHARES,patrimonial,347
NOITE,LINHARES,violencia_social,321
NOITE,LINHARES,objetos,198
NOITE,LINHARES,digital,1
TARDE,LINHARES,patrimonial,700
TARDE,LINHARES,objetos,179
TARDE,LINHARES,violencia_social,176
MADRUGADA,MANTENOPOLIS,violencia_social,8
MADRUGADA,MANTENOPOLIS,objetos,4
MANHA,MANTENOPOLIS,patrimonial,19
MANHA,MANTENOPOLIS,digital,9
MANHA,MANTENOPOLIS,violencia_social,7
MANHA,MANTENOPOLIS,objetos,4
NOITE,MANTENOPOLIS,violencia_social,16
NOITE,MANTENOPOLIS,objetos,7
NOITE,MANTENOPOLIS,digital,5
NOITE,MANTENOPOLIS,patrimonial,2
TARDE,MANTENOPOLIS,patrimonial,21
TARDE,MANTENOPOLIS,digital,20
TARDE,MANTENOPOLIS,violencia_social,16
MADRUGADA,MARATAIZES,patrimonial,72
MADRUGADA,MARATAIZES,violencia_social,52
MADRUGADA,MARATAIZES,objetos,45
MANHA,MARATAIZES,patrimonial,144
MANHA,MARATAIZES,violencia_social,66
MANHA,MARATAIZES,objetos,46
NOITE,MARATAIZES,patrimonial,116
NOITE,MARATAIZES,violencia_social,99
NOITE,MARATAIZES,objetos,49
TARDE,MARATAIZES,patrimonial,230
TARDE,MARATAIZES,violencia_social,86
TARDE,MARATAIZES,objetos,31
MADRUGADA,MARECHAL FLORIANO,patrimonial,5
MADRUGADA,MARECHAL FLORIANO,violencia_social,5
MADRUGADA,MARECHAL FLORIANO,objetos,3
MANHA,MARECHAL FLORIANO,patrimonial,33
MANHA,MARECHAL FLORIANO,violencia_social,7
MANHA,MARECHAL FLORIANO,objetos,5
NOITE,MARECHAL FLORIANO,violencia_social,20
NOITE,MARECHAL FLORIANO,patrimonial,14
NOITE,MARECHAL FLORIANO,objetos,5
TARDE,MARECHAL FLORIANO,patrimonial,48
TARDE,MARECHAL FLORIANO,violencia_social,12
TARDE,MARECHAL FLORIANO,objetos,3
MADRUGADA,MARILANDIA,violencia_social,8
MADRUGADA,MARILANDIA,patrimonial,5
MADRUGADA,MARILANDIA,objetos,4
MANHA,MARILANDIA,patrimonial,28
MANHA,MARILANDIA,violencia_social,14
MANHA,MARILANDIA,objetos,3
NOITE,MARILANDIA,violencia_social,17
NOITE,MARILANDIA,patrimonial,9
NOITE,MARILANDIA,objetos,5
TARDE,MARILANDIA,patrimonial,46
TARDE,MARILANDIA,violencia_social,28
TARDE,MARILANDIA,objetos,8
MADRUGADA,MIMOSO DO SUL,violencia_social,12
MADRUGADA,MIMOSO DO SUL,objetos,11
MADRUGADA,MIMOSO DO SUL,patrimonial,10
MANHA,MIMOSO DO SUL,patrimonial,35
MANHA,MIMOSO DO SUL,violencia_social,20
MANHA,MIMOSO DO SUL,objetos,7
NOITE,MIMOSO DO SUL,violencia_social,24
NOITE,MIMOSO DO SUL,patrimonial,22
NOITE,MIMOSO DO SUL,objetos,13
