municipio,tipo_objeto,acao_objeto,quantidade
SERRA,APARELHOS TELEFONICOS,ROUBADO,1375
SERRA,APARELHOS TELEFONICOS,FURTADO,931
SERRA,VEICULO,FURTADO,639
SERRA,BICICLETA,FURTADO,259
SERRA,VEICULO,ROUBADO,236
SERRA,BICICLETA,ROUBADO,58
SOORETAMA,APARELHOS TELEFONICOS,ROUBADO,18
SOORETAMA,APARELHOS TELEFONICOS,FURTADO,17
SOORETAMA,BICICLETA,FURTADO,8
SOORETAMA,VEICULO,FURTADO,3
SOORETAMA,VEICULO,ROUBADO,2
SOORETAMA,BICICLETA,ROUBADO,1
VARGEM ALTA,APARELHOS TELEFONICOS,FURTADO,22
VARGEM ALTA,VEICULO,FURTADO,4
VARGEM ALTA,APARELHOS TELEFONICOS,ROUBADO,2
VARGEM ALTA,VEICULO,ROUBADO,2
VENDA NOVA DO IMIGRANTE,BICICLETA,FURTADO,8
VENDA NOVA DO IMIGRANTE,APARELHOS TELEFONICOS,FURTADO,5
VENDA NOVA DO IMIGRANTE,APARELHOS TELEFONICOS,ROUBADO,1
VENDA NOVA DO IMIGRANTE,VEICULO,FURTADO,1
VENDA NOVA DO IMIGRANTE,VEICULO,ROUBADO,1
VIANA,APARELHOS TELEFONICOS,ROUBADO,79
VIANA,APARELHOS TELEFONICOS,FURTADO,45
VIANA,VEICULO,FURTADO,41
VIANA,VEICULO,ROUBADO,19
VIANA,BICICLETA,FURTADO,3
VILA PAVAO,VEICULO,FURTADO,5
VILA PAVAO,APARELHOS TELEFONICOS,FURTADO,2
VILA VALERIO,APARELHOS TELEFONICOS,FURTADO,5
VILA VALERIO,APARELHOS TELEFONICOS,ROUBADO,2
VILA VALERIO,VEICULO,FURTADO,1
VILA VALERIO,VEICULO,ROUBADO,1
VILA VELHA,APARELHOS TELEFONICOS,ROUBADO,1418
VILA VELHA,APARELHOS TELEFONICOS,FURTADO,965
VILA VELHA,BICICLETA,FURTADO,650
VILA VELHA,VEICULO,FURTADO,431
VILA VELHA,VEICULO,ROUBADO,287
VILA VELHA,BICICLETA,ROUBADO,237
VITORIA,APARELHOS TELEFONICOS,FURTADO,1560
VITORIA,APARELHOS TELEFONICOS,ROUBADO,753
VITORIA,BICICLETA,FURTADO,379
VITORIA,VEICULO,FURTADO,341
VITORIA,BICICLETA,ROUBADO,60
VITORIA,VEICULO,ROUBADO,39
